DateTime	Open	High	Low	Close	Volume	TickVolume
2025.07.15 20:00:00	22940.5	22973.4	22930.9	22966.8	0	9965
2025.07.15 19:00:00	22999.8	23010.1	22925.4	22940.9	0	17301
2025.07.15 18:00:00	22941.8	23022.5	22941.8	22999.5	0	19481
2025.07.15 17:00:00	22982.2	23040.3	22938.3	22941.9	0	22780
2025.07.15 16:00:00	23037.8	23063.8	22964.7	22980.4	0	17643
2025.07.15 15:00:00	23008.8	23049.1	22972.3	23037.0	0	10706
2025.07.15 14:00:00	23010.6	23032.7	22995.5	23008.1	0	5228
2025.07.15 13:00:00	23015.1	23029.7	23003.9	23011.7	0	4279
2025.07.15 12:00:00	22997.0	23020.4	22991.1	23015.5	0	4062
2025.07.15 11:00:00	23001.8	23019.7	22984.9	22997.0	0	5916
2025.07.15 10:00:00	22984.7	23010.9	22973.9	23002.0	0	5940
2025.07.15 09:00:00	22988.4	22996.2	22973.4	22984.4	0	3870
2025.07.15 08:00:00	22956.9	23010.5	22955.2	22988.2	0	4753
2025.07.15 07:00:00	22935.0	22962.0	22931.7	22957.2	0	2913
2025.07.15 06:00:00	22896.9	22942.0	22888.5	22935.2	0	4460
2025.07.15 05:00:00	22984.9	23004.5	22882.4	22897.7	0	9158
2025.07.15 04:00:00	22846.8	23014.2	22839.2	22983.7	0	6594
2025.07.15 03:00:00	22853.3	22860.9	22838.9	22847.0	0	3543
2025.07.15 02:00:00	22842.4	22856.0	22838.1	22852.4	0	2008
2025.07.15 01:00:00	22874.6	22874.6	22841.4	22843.2	0	2885
2025.07.14 23:00:00	22873.2	22877.5	22860.9	22874.8	0	2751
2025.07.14 22:00:00	22890.5	22897.8	22855.0	22871.5	0	11439
2025.07.14 21:00:00	22883.3	22898.3	22874.5	22890.0	0	8843
2025.07.14 20:00:00	22872.8	22904.8	22872.4	22883.0	0	9768
2025.07.14 19:00:00	22847.3	22878.9	22838.3	22872.5	0	12029
2025.07.14 18:00:00	22830.0	22861.1	22824.0	22847.4	0	16653
2025.07.14 17:00:00	22750.6	22830.7	22744.3	22830.4	0	20952
2025.07.14 16:00:00	22736.8	22817.3	22681.5	22750.1	0	16135
2025.07.14 15:00:00	22722.7	22747.5	22718.0	22737.4	0	4482
2025.07.14 14:00:00	22715.9	22738.0	22702.9	22726.0	0	4869
2025.07.14 13:00:00	22738.1	22738.8	22709.0	22716.0	0	3207
2025.07.14 12:00:00	22725.8	22742.0	22718.2	22737.8	0	2908
2025.07.14 11:00:00	22720.5	22736.6	22704.5	22725.8	0	4705
2025.07.14 10:00:00	22678.9	22722.1	22643.7	22720.5	0	6871
